Tags,Meaning
opengl-es-2.0,Subset of the OpenGL 3D graphics API designed for embedded devices such as mobile phones. This version 2.0 eliminates most of the fixed-function rendering pipeline in favor of a programmable one.
sap-basis,"Software platform that forms the base of an SAP system and on which SAP applications and components are build. Use this tag for SAP system architecture, system administration, database abstraction, transactional processing, software distribution management, authorisations and security and similar topics.  Do not use this tag for application specific questions.  "
delta,A Delta is a file which represents the changes between two or more revisions of structured or semi-structured data
smallrye,
semantic-versioning,Semantic Versioning is a community-driven version-numbering standard.  Use this tag to indicate the software versioning concepts defined at http://semver.org.
acme.sh,Used for questions related to Neil  https://github.com/Neilpang/acme.sh  acme shell script. This script is used to get and renew SSL certificates in Apace and other web servers from Let&#39;s encrypt and other certificate providers.
row-level-security,Row-level security is database security term which relates to the ability to define and enforce access control logic on rows of data such that a user can only retrieve the rows of data he or she is allowed to view.
serial-number,A unique code assigned for identification of a single unit or device.
iostream,The C++ iostream library is an object-oriented library that provides input and output functionality using streams. The iostreams classes support type-safe I/O of built-in types and can be extended to support user-defined types by overloading the &gt;&gt; and &lt;&lt; operators. 
timespec,&#39;timespec&#39; is a structure allowing to store the time since Epoch (1. Jan 1970)  providing nano seconds along with seconds. It is a POSIX extension to the C Standard to be declared in &#39;&lt;time.h&gt;&#39;.
udpclient,UdpClient (System.Net.Sockets.UdpClient) is a .NET-Class allowing to send and receive UDP-Traffic.
sql-server-data-tools,"SQL Server Data Tools (SSDT) introduces an ubiquitous, declarative model that spans all the phases of database development and maintenance/update inside Visual Studio. The developer can use SSDT TSQL design capabilities to build, debug, maintain and refactor databases whether working with a database project, or directly with a connected database instance located on or off-premise."
android-styles,A style is a collection of properties that specify the look and format for a View or window
sparse-matrix,"A sparse matrix is a data structure in which not every entry is explicitly represented. Related are sparse matrix algorithms and data structures, along with questions about implementation and analyses."
roxygen2,"roxygen2 is a Doxygen-like in-source documentation system for Rd, collation, and NAMESPACE.  Its primary use is in documenting R functions in-line with the function definition."
numberformatexception,A NumberFormatException occurs in Java code when a programmer tries to convert a String into a number and the conversion fails.
python-multithreading,python-multithreading refers to how to divide work into multiple streams of execution in Python.
amazon-connect,Amazon Connect is a cloud-based contact center solution.
vuex4,Vuex 4 is the version compatible with Vue.js 3
matlab,"MATLAB is a high-level language and interactive programming environment for numerical computation and visualization developed by MathWorks. Don’t use both the [matlab] and [octave] tags, unless the question is explicitly about the similarities or differences between the two. When using this tag, please mention the MATLAB release you&#39;re working with (e.g. R2017a)."
risk-analysis,"The tag should be used whenever the probability and/or the severity of one or multiple events should be quantified. It may refer to certain finance topics, but is not limited to that."
interop,Interoperability is a requirement for one computer system or programming language to work with another.
mono,"Mono is an open source implementation of .NET that runs on many platforms, including Linux, Mac OS X, and Windows.  This allows running .NET applications on platforms other than Windows with little to no modification."
indices,Use this tag for questions about specifying or selecting the correct information from a structure using indices. 
salesforce,A Platform-as-a-Service development environment delivered on Salesforce.com - the platform is more correctly referred to as Force.com. A dedicated Salesforce Stack Exchange is available for all your Salesforce questions at https://salesforce.stackexchange.com/
promql,Use the promql tag when your question is related to how to formulate promql query strings related to data for which you are querying in Prometheus. Other relevant reasons might exist but this is the main purpose.
gnu-coreutils,"Use this tag for questions specific to the GNU Core Utilities. If possible, add more specific tags such as &quot;kill&quot;, &quot;chown&quot;, &quot;uniq&quot; et cetera."
kubelet,"kubernetes related, the kubelet is the primary “node agent” that runs on each node"
scrollbar,"A scrollbar is a graphical user interface element relating to a display which is only partially visible. The scroll bar provides visual feedback on which portion of the element is in view, and the ability to move the view of the main element."
primes,"Primes or prime numbers are integers greater than 1 which are divisible only by themselves and 1, i.e.: 2, 3, 5, 7, 11, ... . "
cursor-position,
google-cloud-dataproc,"Google Cloud Dataproc is a managed Hadoop MapReduce, Spark, Pig and Hive service on Google Cloud Platform. The service provides GUI, CLI and HTTP API access modes for deploying/managing clusters and submitting jobs onto clusters."
ecj,Eclipse has implemented its own compiler called as Eclipse Compiler for Java (ECJ). This tag is for questions relating to the behaviour of that compiler.
python-requests-html,"Requests-HTML is a Python HTTP library built around the requests API, adding support for parsing HTML (with optional headless-browser support to render JavaScript)."
react-native-sqlite-storage,
application-xml,
caption,"A title text that is optically separated from the main text of an article. Language-independent concept, occurs in languages as HTML, LaTeX and Markdown."
copy-constructor,"A copy constructor is a constructor that creates a new object that is a clone of an existing object. The term is mostly used in the C++ programming language, where copy constructors have a special status."
jmenu,
typo3-extensions,The Content Management System (CMS) TYPO3 can be easily extended by plugins which are called &quot;extension&quot; in the TYPO3 world.
blacklist,"A blacklist is a list of entities that are banned from some access or action (entities not in the blacklist are authorized, including unknown entities).
"
sidecar,
archive,"A location or file that stores other files or data, normally accompanied by compression, encryption, sorting or organizing."
ruby-on-rails-6,"Ruby on Rails 6 is the latest version of Ruby on Rails, &quot;an open-source web framework that&#39;s optimized for programmer happiness and sustainable productivity.&quot;"
objective-c,"This tag should be used only on questions that are about Objective-C features or depend on code in the language. The tags [cocoa] and [cocoa-touch] should be used to ask about Apple&#39;s frameworks or classes. Use the related tags [ios], [macos], [apple-watch] and [tvos] for issues specific to those platforms."
react-aria,
syntax-error,A syntax error occurs when a program does not follow the syntactical rules of the programming language.
profile,Profiles are part of .NET Framework. Profiles allows you simply manage your users.
sbt,"sbt is an open source build tool for Scala and Java projects, similar to Java&#39;s Maven or Ant."
cucumber-spring,
winforms,"WinForms is the informal name given to Windows Forms, a GUI class library in the Microsoft .NET Framework and Mono. Questions in this tag should also be tagged with the target framework ([.net] or [mono]) and should ordinarily be tagged with a programming language tag."
well-formed,"A well-formed expression is one that is consistent with a known set of rules for syntax, structure, or any of various constraints of a formal system. 

A common example is that of a well-formed XML document, where the syntax of the document is capable of being parsed and recognized as XML, even though the content of the document may not be meaningful or accurate. "
sql-server-agent,"SQL Server Agent is a Microsoft Windows service that executes scheduled administrative tasks, which are called jobs. SQL Server Agent uses SQL Server to store job information. Jobs contain one or more job steps. Each step contains its own task, for example, backing up a database. SQL Server Agent can run a job on a schedule, in response to a specific event, or on demand."
magento-2.3,
elixir,"Elixir is an open-source, dynamic, compiled, general purpose functional programming language. It was designed to be fully compatible with the Erlang platform and is well suited to writing fault-tolerant, distributed applications with soft real-time guarantees and the ability for hot-code-swapping."
addressbook,An address book or a name and address book (NAB) is a book or a database used for storing entries called contacts.
android-viewgroup,"A ViewGroup is a special view that can contain other views, called children. The view group is the base class for layouts and views containers"
locationmanager,"The LocationManager class in Android provides access to the system location services. These services allow applications to obtain periodic updates of the device&#39;s geographical location, or to fire an application-specified Intent when the device enters the proximity of a given geographical location."
accessibility,"Accessibility seeks to make an application or website usable by everyone, including people with disabilities such as visual, auditory, ambulatory, or cognitive impairment. "
rego,"Rego is a Query Language. To make a policy decision in Rego, you write logical tests on the data that comes in as input (such as the API or SSH data from the last section)"
google-api-nodejs-client,"google-api-nodejs-client is Google&#39;s officially supported node.js client library for accessing Google APIs, it also supports authorization and authentication with OAuth 2.0."
generic-constraints,A generic constraint will restrict the types that can be used for a specific generic. Use this tag for questions regarding generic constraints.
powershell-core,"Use this tag for questions about writing and executing scripts for PowerShell Core, the cross-platform command line and scripting utility from Microsoft. Questions about Windows PowerShell (the original, Windows-only edition) should be tagged [powershell]. Questions about system administration should be asked on SuperUser."
flip,"a UI effect. for other flip types, see [flipboard] [swap] [bit-twiddling]"
recursive-type,Use for questions about types whose definition references itself as a type of its constituents
aws-codeartifact,
bounded-types,"A bounded type is a data type that has, by construction, upper and/or lower bounds on the values that inhabit it."
git-cherry-pick,This command applies the changes introduced by some existing commits.
extbase,Extbase is a TYPO3 CMS extension development framework working closely with TYPO3 Fluid and TYPO3&#39;s Extension Builder.
data-vault,"Data Vault is a methodology and architecture created to address the business of designing, implementing, and managing a data warehouse."
overloading,"The terms overloading and overloaded may refer to:

  - Constructor and method overloading, a type of polymorphism where different functions with the same name are invoked based on the data types of the parameters passed
  - Operator overloading, a form of functional or method overloading where the action being overloaded is an operator, such as + or -"
line,"The shortest distance between two points. Or, a row of characters in text output."
mindstorms,This tag is used to ask questions about the programmable aspects of the LEGO Mindstorms product line.  More specific tags about the version of the programmable controls and software should also be used.  These tags would be RCX or NXT or EV3. 
bazel-rules-nodejs,
google-console-developer,"Google Cloud Platform / Google Developer console lets you build, deploy, and scale applications, websites, and services on the same infrastructure as Google.
"
bottom-sheet,Material design concept - bottom sheets slide up from the bottom of the screen to reveal more content.
u-boot,Das U-boot is a GPL&#39;d bootloader for embedded boards supporting multiple processor architectures.
exponential-backoff,
ev3,Use this tag if your question is concerned specifically with mindstorms ev3. Otherwise use `mindstorms`
refund,
language-history,
launch-screen,
ravendb4,RavenDB in version 4.0
forestadmin,Forest Admin provides an off-the-shelf admin panel based on a highly-extensible API hosted on your servers.
data.table,"The R data.table package is an extension of data.frame built for fast in-memory data analysis. Use the dt tag for the DataTables package with Shiny (DT).
"
materialize,"An open-sourced, modern, responsive front-end framework based on Material Design"
umd,"Universal Module Definition (UMD) is an API for JavaScript modules that are capable of working in browsers, on the server, or elsewhere."
dex,.dex files are compiled Android application code files.
ngrx-reducers,
orders,"USE ONLY for related questions to e-commerce.
DO NOT USE in all other cases."
ios-animations,Animations provide fluid visual transitions between different states of your user interface.
crashpad,
notificationcenter,Notification Center is an interface designed by Apple that allows users to easily view notifications from all applications in one view. Notification Center is available in iOS 5 and up.
payara,Payara is a drop-in replacement for the open source GlassFish Application Server
reql,ReQL is the RethinkDB query language. It offers a convenient way to manipulate JSON documents. 
operators,"Operators are symbols that occur in nearly all programming and coding languages, for performing calculations and comparisons on data."
tcpportsharing,
flutteramplify,
guard-clause,"In function definitions by clauses with pattern matching, guards are Boolean expressions which augment pattern matching with the possibility to skip a pattern even if an argument structure matches the pattern."
golang-migrate,golang-migrate is a database migration tool written in Go. Questions tagged golang-migrate should be directly related to database migrations in Go.
opengl-4,"OpenGL 4 is the current iteration of the OpenGL standard, designed to reflect newest capabilities of modern GPU in 3D rendering. OpenGL 4 requires DX11 level hardware."
dt,DT is an R package that provides an interface to the JavaScript library DataTables. Use the data.table tag for questions related to the data.frame extension package data.table.
google-nearby-connections,
tabulator,"Tabulator is a table generating JavaScript library. It is extremely flexible in manipulating tables and all the information within it. It also allows for external loading and saving. It can handle HTML, CSV, XML and JSON. See http://tabulator.info/"
timing,timing is a numerical measurement of the how long it takes to execute an instruction or series of instructions
spring-data-elasticsearch,"Spring Data makes it easier to build Spring-powered applications that use new data access technologies such as non-relational databases, map-reduce frameworks, and cloud based data services as well as provide improved support for relational database technologies."
romejs,For questions about the experimental JavaScript toolchain from Facebook
web-notifications,The Web Notifications API provides a way for a web application to show a platform-level notification to a users — outside of a browser’s viewport and regardless of whether the web application that generated the notification is in the currently-active tab/window.
angular2-moment,Angular2 moment provides pipes for using momentjs methods in the angular environment. Make sure to include momentjs and angular tags along with this tag. Use angular-moment tag for the angularjs version of the library.
babel-register,
apache-kafka-connect,Apache Kafka Connect is a tool for scalable and reliable streaming data between Apache Kafka and other data systems.
psycopg2,Psycopg is a PostgreSQL adapter for Python programming language. It implements PEP 249 with many extensions.
saga,"A pattern that enables a service bus to deal with long-running processes, fault tolerance and scalability. "
cowplot,"The cowplot package is a simple add-on to ggplot2. It is meant to provide a theme for ggplot2 that is especially useful for formatting plots for publication in academic journals, and it also provides tools to neatly arrange multiple plots of different types, while minimizing the amount of required fiddling with sizes of axis labels, plot backgrounds, etc."
soundwaves,
vstack,A Swift UI view that arranges its children in a vertical line.
channels,
drawtext,
reference-type,"In programming language theory, a reference type is a data type that refers to an object in memory."
timeoutexception,TimeoutException is thrown when the time allotted for a process or operation has expired.
android-database,General programmatic usage of databases on Android
arrow-kt,Λrrow is a library for Typed Functional Programming in Kotlin
bootstrap-datepicker,bootstrap-datepicker is a datepicker widget by uxsolutions (eternicode) that uses Twitter&#39;s bootstrap library. (Forked from eyecon) 
array-broadcasting,"Broadcasting (or singleton expansion) applies a function element-wise across one or more multidimensional arrays, matching shapes of the arguments by repeating missing or singleton dimensions. Be sure to also tag the programming language; many languages with strong array support have implicit or explicit broadcasting behaviors, sometimes with idiosyncratic rules."
trailing,"Trailing characters are characters at the end of a string that should be removed for reason (eg. trailing zeros in &quot;0.5000&quot;, trailing spaces in &quot;hello &quot;, trailing slash in a URL, trailing newline character, etc.)."
value-initialization,Preparing an object or variable for use and assigning starting data to it.
lldb,"LLDB is a debugger built as a set of reusable components which highly leverage existing libraries in the larger LLVM Project, such as the Clang expression parser and LLVM disassembler."
extrapolation,extrapolation is a method of constructing new data points outside the range of a discrete set of known data points
type-erasure,"In Java, type erasure is the process where the compiler removes all information related to type parameters and type arguments within a class or method when a generic type is instantiated.  

In C++ type erasure refers to a technique for hiding some or all of the type information regarding a class."
ocamlfind,"Findlib is a library manager for Objective Caml. It provides a convention how to store libraries, and a file format (&quot;META&quot;) to describe the properties of libraries. There is also a tool (ocamlfind) for interpreting the META files, so that it is very easy to use libraries in programs and scripts. "
brython,Brython is a browser-integrated Python engine.
jmeter,"Apache JMeter is an open source Java application, designed to load-test functional behavior and measure performance. Originally designed for testing Web Applications, it has since expanded to other test functions as well."
mutators,"Anything related to mutators (a.k.a. setters, or mutator methods) in object oriented programming, i.e. instance methods whose exclusive purpose is to change (part of) the internal state of an object to a specific value, without performing substantial additional processing.. This may also refer to mutator functions in non-OO languages when OOP techniques are used to emulate OOP-like encapsulation."
webpack-style-loader,
zappa,"Zappa is a Python tool to build and deploy server-less, event-driven Python applications (including, but not limited to, WSGI web apps) on AWS Lambda + API Gateway."
camera-calibration,"In Computer Vision, camera-calibration is the process of finding the true parameters of the camera that produced a given photograph or video. Usually, the camera parameters are represented in a 3 &#215; 4 matrix called the camera matrix."
external-tools,External tools are a mechanism within Intellij-IDEA to provide a shareable process.
tomcat,"Use this tag for questions about Apache Tomcat (or simply Tomcat, formerly also Jakarta Tomcat) which is an open source Servlet Container developed by the Apache Software Foundation (ASF).  Most questions should also include a tag specifying the operating system."
converters,"Converters can change data from one type to another, translate data based on cultural information, or modify other aspects of presentation. "
bem,"BEM is an abbreviation for Block-Element-Modifier. It&#39;s a convention for naming HTML DOM elements, CSS classes, JavaScript variables, and other web programming identifiers in a way that is easy to support and develop.
It can be used for the individual development of a single website or for a large team working across multiple websites."
semantic-ui-react,Semantic-UI-React is the official React integration for Semantic UI
enums,"A data type consisting of a set of named values called elements, members or enumerators of the type."
job-control,
multiple-cursor,
language-lawyer,For questions about the intricacies of formal or authoritative specifications of programming languages and environments.
intel-python,"Use this tag to ask questions about the Intel&#174; Distribution for Python* which is an integrated package that delivers faster application performance on Intel&#174; platforms. It is used to accelerate compute-intense applications—including numeric, scientific, data analytics, machine learning–that use NumPy, SciPy, scikit-learn*, and more."
aws-xray,"AWS X-Ray allows developers to analyze the behavior of distributed applications by providing request tracing, exception collection, and profiling capabilities.  "
mixed-integer-programming,
azure-log-analytics,Use for Azure Monitor Log Analytics questions (was: OMS)
git-credential-manager,The Git Credential Manager for Windows (GCM) is a credential helper for Git.
uistackview,"The UIStackView class provides a streamlined interface for laying out a collection of views in either a column or a row. Stack views let you leverage the power of Auto Layout, creating user interfaces that can dynamically adapt to the device’s orientation, screen size, and any changes in the available space. "
ssms-18,"Use this tag specifically for questions related to SSMS Version 18

Microsoft SQL Server Management Studio 18 is a graphical tool for configuring, managing, and administering all components within Microsoft SQL Server.

"
mapmulti,MapMulti is a new Java StreamAPI method as of Java 16
memory-profiling,
postgis,"Use this tag for PostGIS, which is a spatial database extension for PostgreSQL.

Before using this tag, please consider whether your question might be a better fit for the Geographic Information Systems Stack Exchange site (e.g. if it&#39;s more about configuration or geodetic principles than about actual programming)."
asp.net-core-3.1,"Use this tag for questions specifically related to ASP.NET Core 3.1, in addition to using the &#39;ASP.NET Core&#39; tag."
jooq,"jOOQ stands for JOOQ Object Oriented Querying. jOOQ effectively combines complex SQL, typesafety, source code generation, active records, stored procedures, advanced data types, and Java in a fluent, intuitive DSL."
dvc,Data Version Control (DVC) is an open-source version control system for ML and data science projects. Use this tag for questions related to DVC usage and workflows.
eclipse-iot,
apache-poi,"Apache POI is a Java library for reading and writing various Microsoft file formats, especially Office related ones. It supports OLE2 and OOXML based formats, such as XLS, XLSX, DOC, DOCX, PPT and PPTX as well as a few others."
embedded-resource,Resources (such as images and help files) that are embedded into the binary of the application itself and typically not available as files.
windows-subsystem-for-linux,Windows Subsystem for Linux (WSL) is a compatibility layer that allows Linux ELF64 binaries to run natively on Windows 10
razorpay,"Razorpay provides APIs to process payments, invoices using cards, netbanking, wallets, UPI, and other methods.
Ask questions here only if they are programming questions. If you are a Razorpay user and have support queries, contact Razorpay."
fastlane-gym,
istanbul,A JavaScript code coverage tool written in JavaScript.
ctx,"For questions regarding the context of nodes request and response in Koa framework. In most cases, It is used along with [nodejs] and [koa]"
phasset,A `PHAsset` is an object in the iOS Photos Framework (aka PhotoKit) that represents an image or video file on the iOS device.
inspect-element,
scale,The scale tag is mostly used for questions that relate to proportional resizing of images or UI elements. It is also used for questions related to function scale() in R language.
twitch,"Twitch is a live streaming service and global community for content spanning gaming, entertainment, music, sports, and more. Use this tag for questions related to the Twitch API, Extensions, Drops, or EventSub."
anycpu,Any CPU is a build target for .net Applications which are compiled using the Visual-Studio IDE
aws-fsx-windows,
configuration-profile,A file used for distributing device configuration to iOS and OS X devices.
fb-hydra,"Questions about Hydra, an open source Python framework by Facebook"
null-coalescing,The concept of setting a default value if a condition evaluates to null.
coordinate-systems,"Coordinate systems use one or more numbers, or coordinates, to uniquely determine the position of a point or geometry in space."
currency-pipe,
axios-retry,Axios plugin that intercepts failed requests and retries them whenever possible.
jql,JIRA Query Language (JQL) is used to perform advanced searches within JIRA.
twilio-video,Twilio Video allows you to build in-app voice and video integrations with cloud infrastructure and simple APIs.
network-protocols,A network protocol defines rules and conventions for communication between network devices. 
verify,
mdbootstrap,A Material Design UI kit for Bootstrap 4
wpf,"Windows Presentation Foundation, or WPF, is a subsystem for rendering user interfaces in Windows-based applications."
bundle,Bundles are a group of resources. 
cgimage,CGImage represents a drawable image object in Core Graphics (the low-level procedural drawing API for iOS and Mac OS X).
conways-game-of-life,"The Game of Life, also known simply as Life, is a cellular automaton devised by the British mathematician John Horton Conway in 1970.

The &quot;game&quot; takes place on a 2D grid made up of cells that may either be &quot;alive&quot; or &quot;dead&quot;. At each iteration, the state of each cell is computed based on the states of the cell and its 8 neighbors at the previous iteration."
nodejs-stream,A stream is an abstract interface for working with streaming data in Node.js. The stream module provides a base API that makes it easy to build objects that implement the stream interface.
case-sensitive,An operation is case sensitive when uppercase and lowercase characters are treated differently.
openj9,"Eclipse OpenJ9 is an open source project that provides a high-performance, scalable, Java virtual machine (JVM) implementation.  The initial code contribution for the project came from IBM&#39;s production J9 JVM."
return,"A return statement causes execution to leave the current subroutine and resume at the point in the code immediately after where the subroutine was called, known as its return address. The return address is saved, usually on the process&#39;s call stack, as part of the operation of making the subroutine call. Some programming languages allow a function to specify one or more return values to be passed back to the code that called the function."
aws-sam-cli,"AWS SAM Local allows developers to run  &amp; debug AWS Lambda code on local machine using Docker. AWS Lamda is a part of Amazon Web Services (AWS). 

"
passport-local-mongoose,
css-mask,The mask CSS property hides an element (partially or fully) by masking or clipping the image at specific points.
tensorboard,"TensorBoard is a visualization suite for the TensorFlow library. It can be used to visualize the TensorFlow computation graph, plot quantitative metrics about the execution of the graph, and show additional data (e.g. images) that pass through it."
comparison,Questions about data comparison and efficient ways to accomplish it. Please avoid using this tag for generic (meta) comparison of two issues or concepts.
google-home,This tag targets question related to programming for Google Home device.
fonts,"A font is an electronic data file containing a set of glyphs, characters, or symbols such as dingbats. Although the term font first referred to a set of metal type sorts in one style and size, since the 1990s most fonts are digital, used on computers."
javax.imageio,The Java Image I/O API (the javax.imageio package) contains the basic classes and interfaces for reading/writing BufferedImages and RenderedImages from/to image files and streams.
angular-animations,Use this tag to better reference animations in angular versions 2.0 and over or the BrowserAnimationsModule. 
distillery,Elixir release manager
http-status-code-302,The HTTP response status code 302 Found is a common way of performing a redirection
glm,"For questions relating to generalized linear models. For the GLM math library, see the [glm-math] tag."
rgeo-shapefile,
user-enrollment,
google-contacts-api,"The Google Contact API allows users to programmatically interact with the Google Contacts application, which is a web based contact management application by Google. Use this tag for programming questions related to using the Google Contacts API. General computing questions about using the Google Contacts web application is off topic for Stack Overflow. 
"
calling-convention,A calling convention refers to the way a function transmits parameters to a called function and receives a return value from it.
computer-vision,"Use this tag for questions related to Computer Vision -- any aspect of software that enables computers to perceive, understand and react to their environment using cameras. For questions related to image filtering and quantification, use the tag [image-processing] instead."
custom-wordpress-pages,This tag is for questions relating to howto create custom page templates in WordPress 
injected-class-name,
oidc-identity-brokering,
haskell-hedgehog,"Hedgehog is a property-based testing system, Haskell-Hedgehog is the very same testing system for Haskell. Use this tag for questions about the testing system, not for questions about the programming language Haskell."
x-sendfile,"non-standard HTTP header supported by Apache to offload the process of serving large static files from dynamic scripts (eg: PHP, Python, Perl) after they have performed the necessary authorization or restriction logic."
hamburger-menu,An off-screen menu activated by an icon with three horizontal lines.
http4s-circe,
angular-errorhandler,
second-level-cache,"Second-level-cache, as the name implies, is a layer of cache that lives between a &quot;primary&quot; cache and a data service/store (relational database, in most cases) to optimize read operations on the service/store. It is different from the primary cache in its lifespan (primary cache being limited to a request lifetime) and capabilities (persist to store, clustering, etc.)."
identity-aware-proxy,
testng-eclipse,The TestNG Eclipse plug-in allows you to run your TestNG tests from Eclipse and easily monitor their execution and their output.
std-filesystem,"c++ std::filesystem discussion, std::filesystem was added to the  ISO C++ standard library in C++17"
android-enterprise,Questions related to Android Enterprise APIs and tools for developers to integrate support for Android into their enterprise mobility management (EMM) solutions.
haproxy-ingress,
rust,"Rust is a systems programming language without a garbage collector focused on three goals: safety, speed, and concurrency. Use this tag for questions about code written in Rust. Use an edition specific tag for questions that refer to code which requires a particular edition, like [rust-2018]. Use more specific tags for subtopics like [rust-cargo] and [rust-macros]."
fractals,"Fractals are interesting mathematical objects with a special behaviour in a complex-plane [Re, Im], depending on their initial position ( location ). Visualised in popular media, typically as shapes with infinite dimensionality that exhibit a sort of self-similarity. Well-known fractal sets include the named Mandelbrot set, Julia sets, and Phoenix sets. Tree-like fractal drawings are also common."
suppress-warnings,Compilers and interpreters commonly warn about miscellaneous conditions. Suppressing some or all of those warnings may help to reduce the &#39;noise&#39; a compiler emits.
fluentvalidation,Fluent Validation is an ASP.NET MVC integrated validation framework that allows the developer to set validation rules using expressions. It is testable and completely compatible with the inversion of control (dependency injection) pattern and TDD (test-driven development) technique.
type-deduction,A technique to determine the datatype of a class or a variable at runtime.
range-query,
paypal-buttons,anything to do with paypal&#39;s variety of buttons
primitive,A  primitive type is a data type provided by a programming language as a basic building block. 
a-star,A* is a graph shortest-path algorithm that uses a heuristic function to speed up the search
lob,
elliptic-curve,"In mathematics, an elliptic curve is a smooth, projective algebraic curve of genus one, on which there is a specified point O. "
factories,Factory is a pattern used mainly for testing purposes which uses code rather than fake data as in fixtures to help the population of objects.
telegraf-inputs-plugin,
partial-ordering,
osx-yosemite,"OS X Yosemite (version 10.10) is the eleventh release of OS X, Apple&#39;s desktop and server operating system for Macintosh computers."
nextjs-image,"next/image is the built-in image component in NextJS 10. Please, do not use this tag for questions related to the next-images package (use [next-images] instead)."
filtering,In signal processing the complete or partial suppression of some aspect of the signal. Or selecting a subset of some set of data.
loop-unrolling,Loop unrolling is a loop optimization strategy. 
webmail,WebMail is short form of Web Based Email Service. In common All E-Mail Services on Present scenario are WebMail and support other Desktop and Mobile Client Also.
resize,"Issues relating to the resizing of controls, windows, forms or screens."
structure,"Structure is a fundamental, tangible or intangible notion referring to the recognition, observation, nature, and permanence of patterns and relationships of entities."
mo-cap,
fileprovider-extension,
pgadmin,pgAdmin is an Open Source administration and development GUI for PostgreSQL.
android-compose-textfield,Material Design implementation in Jetpack compose of a TextField
mediatorlivedata,
enumeration,"The process of enumerating values, for example from some collection."
system-requirements,"To be used efficiently, all computer software needs certain hardware components or other software resources to be present on a computer. These prerequisites are known as (computer) system requirements and are often used as a guideline as opposed to an absolute rule"
chartjs-2.6.0,"Chart.js is a JavaScript library for creating animated, interactive graphs for inclusion on web pages. This tag is for version 2.6.0 specific questions."
hydrogen,Hydrogen is an Atom plugin that allows users to run code with an interactive REPL session with their language of choice inside GitHub’s Atom text editor.
gmailr,
assembly,"Assembly language questions. Please tag the processor and/or the instruction set you are using, as well as the assembler, a valid set should be like this: (assembly, x86, gnu) Note that you should use the &quot;.net-assembly&quot; tag instead for .NET assembly languages, and for Java bytecode, use the tag java-bytecode-asm instead."
xonsh,"Xonsh is a Python-powered, cross-platform, Unix-gazing shell language and command prompt."
revenuecat,
cfmail,ColdFusion tag for sending out emails.
voxel,"A voxel (volumetric pixel) is a volume element, representing a value on a regular grid in three dimensional space."
